Entity,Year,Male_Prevalence,Female_Prevalence
Norway,2016,5.699484496,8.888655329
Norway,2017,5.714760331,8.851221439
Norway,2018,5.714378661,8.855006786
Norway,2019,5.707282169,8.877497258
OECD Countries,2016,3.657380453,6.377992829
OECD Countries,2017,3.668571195,6.357417694
OECD Countries,2018,3.701834685,6.406343929
OECD Countries,2019,3.768477588,6.513189369
Oman,2016,3.871093616,6.393206306
Oman,2017,3.863471284,6.371219043
Oman,2018,3.866378254,6.392787738
Oman,2019,3.875241947,6.447757165
Pakistan,2016,3.066898594,4.124546896
Pakistan,2017,3.068658718,4.124814213
Pakistan,2018,3.070968186,4.138123803
Pakistan,2019,3.072298207,4.16183987
Palau,2016,3.24438926,5.186178638
Palau,2017,3.22919223,5.190961825
Palau,2018,3.234385102,5.199436754
Palau,2019,3.251131176,5.213692409
Palestine,2016,4.388524004,7.257792286
Palestine,2017,4.386948506,7.257862579
Palestine,2018,4.37931926,7.276711428
Palestine,2019,4.363169548,7.316367515
Panama,2016,2.970078141,4.732272756
Panama,2017,2.983023852,4.751496153
Panama,2018,2.985077295,4.758921866
Panama,2019,2.981378602,4.761906098
Papua New Guinea,2016,3.118854211,5.069388183
Papua New Guinea,2017,3.102355687,5.080444124
Papua New Guinea,2018,3.106686646,5.087881951
Papua New Guinea,2019,3.122791896,5.098205367
Paraguay,2016,4.71761299,8.47672781
Paraguay,2017,4.725423811,8.504563961
Paraguay,2018,4.734022596,8.517627018
Paraguay,2019,4.745988484,8.528179064
Peru,2016,4.379966358,7.230171006
Peru,2017,4.368953696,7.238369004
Peru,2018,4.371576626,7.240375434
Peru,2019,4.379873711,7.239502708
Philippines,2016,3.389790327,6.009271881
Philippines,2017,3.384837548,6.029842399
Philippines,2018,3.398068641,6.037435507
Philippines,2019,3.425675494,6.042015798
Poland,2016,2.462904854,4.172816186
Poland,2017,2.469136361,4.152045068
Poland,2018,2.464553,4.160326882
Poland,2019,2.452690803,4.187057552
Portugal,2016,6.397987504,10.78844212
Portugal,2017,6.46418293,10.85085946
Portugal,2018,6.484251686,10.86389441
Portugal,2019,6.489718357,10.85614851
Puerto Rico,2016,3.470158595,5.775222935
Puerto Rico,2017,3.459536358,5.777602287
Puerto Rico,2018,3.464584504,5.784057601
Puerto Rico,2019,3.478678718,5.79515751
Qatar,2016,3.891314784,6.336031248
Qatar,2017,3.88539907,6.327000629
Qatar,2018,3.891615483,6.363728249
Qatar,2019,3.908126137,6.446325198
Region of the Americas (WHO),2016,4.080179584,7.046881438
Region of the Americas (WHO),2017,4.100645987,7.078883511
Region of the Americas (WHO),2018,4.143236907,7.16447636
Region of the Americas (WHO),2019,4.227100853,7.337900656
Romania,2016,2.586688575,4.386085165
Romania,2017,2.585017124,4.366421524
Romania,2018,2.580331276,4.377985385
Romania,2019,2.569978743,4.411868034
Russia,2016,2.567164551,4.081006189
Russia,2017,2.572728185,4.074013127
Russia,2018,2.572389537,4.072745758
Russia,2019,2.568481877,4.073031423
Rwanda,2016,3.038764191,4.359460627
Rwanda,2017,3.057969846,4.393613211
Rwanda,2018,3.069766527,4.386535378
Rwanda,2019,3.07999522,4.353221448
Saint Kitts and Nevis,2016,3.396721532,5.647635601
Saint Kitts and Nevis,2017,3.385347937,5.639824961
Saint Kitts and Nevis,2018,3.392598091,5.648539204
